,1,54.34,77.38
35880,35860,66.35,70.01
35940,35920,66.26,69.99
36000,35980,66.15,70.03
36060,36040,66.13,70.05
36120,36100,66.11,70.05
36180,36160,66.08,70.08
36240,36220,66.07,70.03
36300,36280,65.99,70.06
36360,36340,65.9,70.06
36420,36400,65.84,70.08
36480,36460,65.8,70.08
36540,36520,65.77,70.06
36600,36580,65.76,70.1
36660,36640,65.74,70.08
36720,36700,65.7,70.1
36780,36760,65.72,70.1
36840,36820,65.66,70.12
36900,36880,65.68,70.12
36960,36940,65.66,70.1
37020,37000,65.66,70.08
37080,37060,65.67,70.14
37140,37120,65.67,70.1
37200,37180,65.67,70.12
37260,37240,65.66,70.14
37320,37300,65.65,70.12
37380,37360,65.68,70.16
37440,37420,65.7,70.14
37500,37480,65.74,70.14
37560,37540,65.78,70.16
37620,37600,65.73,70.2
37680,37660,65.66,70.16
37740,37720,65.66,70.16
37800,37780,65.68,70.18
37860,37840,65.61,70.16
37920,37900,65.66,70.2
37980,37960,65.67,70.18
38040,38020,65.62,70.2
38100,38080,65.55,70.22
38160,38140,65.52,70.22
38220,38200,65.49,70.18
38280,38260,65.61,70.22
38340,38320,65.66,70.2
38400,38380,65.77,70.22
38460,38440,65.77,70.2
38520,38500,65.67,70.24
38580,38560,65.58,70.24
38640,38620,65.52,70.22
38700,38680,65.45,70.2
38760,38740,65.45,70.2
38820,38800,65.45,70.18
38880,38860,65.4,70.22
38940,38920,65.45,70.22
39000,38980,65.41,70.2
39060,39040,65.41,70.24
39120,39100,65.38,70.22
39180,39160,65.41,70.22
39240,39220,65.39,70.22
39300,39280,65.35,70.24
39360,39340,65.36,70.26
39420,39400,65.35,70.28
39480,39460,65.43,70.24
39540,39520,65.45,70.24
39600,39580,65.44,70.24
39660,39640,65.51,70.26
39720,39700,65.51,70.22
39780,39760,65.45,70.28
39840,39820,65.35,70.26
39900,39880,65.29,70.24
39960,39940,65.23,70.26
40020,40000,65.16,70.24
40080,40060,65.16,70.26
40140,40120,65.17,70.28
40200,40180,65.17,70.28
40260,40240,65.22,70.26
40320,40300,65.19,70.28
40380,40360,65.2,70.28
40440,40420,65.21,70.28
40500,40480,65.16,70.28
40560,40540,65.1,70.26
40620,40600,65.0,70.28
40680,40660,65.02,70.26
40740,40720,65.03,70.26
40800,40780,65.05,70.28
40860,40840,65.01,70.28
40920,40900,64.97,70.28
40980,40960,64.96,70.28
41040,41020,64.97,70.28
41100,41080,64.97,70.28
41160,41140,64.97,70.26
41220,41200,64.93,70.3
41280,41260,64.84,70.28
41340,41320,64.78,70.3
41400,41380,64.7,70.32
41460,41440,64.7,70.3
41520,41500,64.69,70.28
41580,41560,64.77,70.26
41640,41620,64.75,70.26
41700,41680,64.74,70.28
41760,41740,64.64,70.28
41820,41800,64.64,70.28
41880,41860,64.64,70.28
41940,41920,64.67,70.24
42000,41980,64.73,70.28
42060,42040,64.7,70.28
42120,42100,64.72,70.28
42180,42160,64.73,70.28
42240,42220,64.67,70.28
42300,42280,64.68,70.26
42360,42340,64.67,70.28
42420,42400,64.67,70.26
42480,42460,64.66,70.28
42540,42520,64.65,70.26
42600,42580,64.66,70.28
42660,42640,64.6,70.28
42720,42700,64.55,70.26
42780,42760,64.54,70.26
42840,42820,64.5,70.28
42900,42880,64.48,70.28
42960,42940,64.43,70.3
43020,43000,64.44,70.28
43080,43060,64.38,70.28
43140,43120,64.37,70.28
43200,43180,64.35,70.28
43260,43240,64.32,70.24
43320,43300,64.32,70.28
43380,43360,64.26,70.28
43440,43420,64.25,70.28
43500,43480,64.22,70.28
43560,43540,64.19,70.28
43620,43600,64.19,70.32
43680,43660,64.25,70.32
43740,43720,64.26,70.3
43800,43780,64.26,70.32
43860,43840,64.26,70.28
43920,43900,64.24,70.3
43980,43960,64.23,70.28
44040,44020,64.21,70.32
44100,44080,64.2,70.28
44160,44140,64.19,70.32
44220,44200,64.15,70.3
44280,44260,64.14,70.3
44340,44320,64.12,70.3
44400,44380,64.1,70.34
44460,44440,64.09,70.28
44520,44500,64.07,70.3
44580,44560,64.03,70.3
44640,44620,64.02,70.3
44700,44680,63.99,70.3
44760,44740,63.98,70.32
44820,44800,63.97,70.32
44880,44860,63.99,70.34
44940,44920,63.97,70.34
45000,44980,63.93,70.34
45060,45040,63.92,70.34
45120,45100,63.92,70.34
45180,45160,63.9,70.32
45240,45220,63.9,70.35
45300,45280,63.9,70.34
45360,45340,63.88,70.34
45420,45400,63.85,70.37
45480,45460,63.85,70.35
45540,45520,63.85,70.39
45600,45580,63.82,70.34
45660,45640,63.82,70.35
45720,45700,63.8,70.35
45780,45760,63.76,70.35
45840,45820,63.77,70.37
45900,45880,63.73,70.35
45960,45940,63.74,70.37
46020,46000,63.7,70.37
46080,46060,63.71,70.37
46140,46120,63.71,70.37
46200,46180,63.65,70.37
46260,46240,63.64,70.35
46320,46300,63.64,70.35
46380,46360,63.65,70.35
46440,46420,63.61,70.37
46500,46480,63.59,70.37
46560,46540,63.59,70.37
46620,46600,63.52,70.39
46680,46660,63.53,70.39
46740,46720,63.55,70.37
46800,46780,63.53,70.41
46860,46840,63.52,70.39
46920,46900,63.47,70.39
46980,46960,63.45,70.39
47040,47020,63.41,70.39
47100,47080,63.51,70.41
47160,47140,63.48,70.37
47220,47200,63.45,70.41
47280,47260,63.43,70.41
47340,47320,63.41,70.39
47400,47380,63.41,70.43
47460,47440,63.32,70.43
47520,47500,63.16,70.45
47580,47560,63.32,70.45
47640,47620,63.31,70.47
47700,47680,63.29,70.43
47760,47740,63.32,70.45
47820,47800,63.33,70.43
47880,47860,63.31,70.43
47940,47920,63.27,70.43
48000,47980,63.31,70.49
48060,48040,63.29,70.45
48120,48100,63.29,70.45
48180,48160,63.29,70.45
48240,48220,63.28,70.45
48300,48280,63.23,70.45
48360,48340,63.23,70.45
48420,48400,63.21,70.47
48480,48460,63.16,70.49
48540,48520,63.19,70.43
48600,48580,63.21,70.51
48660,48640,63.17,70.47
48720,48700,63.14,70.51
48780,48760,63.13,70.53
48840,48820,63.15,70.47
48900,48880,63.13,70.49
48960,48940,63.11,70.47
49020,49000,63.08,70.51
49080,49060,63.04,70.47
49140,49120,63.01,70.51
49200,49180,63.03,70.51
49260,49240,63.01,70.49
49320,49300,62.98,70.53
49380,49360,62.97,70.49
49440,49420,62.96,70.53
49500,49480,62.95,70.53
49560,49540,62.95,70.53
49620,49600,62.87,70.51
49680,49660,62.92,70.55
49740,49720,62.9,70.57
49800,49780,62.9,70.53
49860,49840,62.88,70.57
49920,49900,62.87,70.53
49980,49960,62.82,70.51
50040,50020,62.84,70.59
50100,50080,62.84,70.53
50160,50140,62.84,70.55
50220,50200,62.83,70.57
50280,50260,62.8,70.59
50340,50320,62.78,70.57
50400,50380,62.78,70.55
50460,50440,62.78,70.57
50520,50500,62.78,70.59
50580,50560,62.78,70.59
50640,50620,62.77,70.61
50700,50680,62.72,70.59
50760,50740,62.76,70.57
50820,50800,62.74,70.59
50880,50860,62.71,70.59
50940,50920,62.7,70.59
51000,50980,62.67,70.61
51060,51040,62.69,70.59
51120,51100,62.63,70.61
51180,51160,62.63,70.62
51240,51220,62.57,70.61
51300,51280,62.51,70.62
51360,51340,62.45,70.64
51420,51400,62.52,70.64
51480,51460,62.55,70.64
51540,51520,62.49,70.66
51600,51580,62.46,70.66
51660,51640,62.42,70.68
51720,51700,62.4,70.72
51780,51760,62.16,70.7
51840,51820,62.16,70.72
51900,51880,62.03,70.76
51960,51940,62.02,70.8
52020,52000,62.07,70.76
52080,52060,62.01,70.76
52140,52120,61.96,70.8
52200,52180,61.96,70.84
52260,52240,61.87,70.84
52320,52300,61.78,70.82
52380,52360,61.81,70.84
52440,52420,61.75,70.86
52500,52480,61.7,70.84
52560,52540,61.8,70.88
52620,52600,61.81,70.88
52680,52660,61.75,70.88
52740,52720,61.68,70.88
52800,52780,61.6,70.89
52860,52840,61.58,70.86
52920,52900,61.68,70.89
52980,52960,61.63,70.91
53040,53020,61.65,70.91
53100,53080,61.6,70.91
53160,53140,61.58,70.93
53220,53200,61.71,70.93
53280,53260,61.67,70.93
53340,53320,61.64,70.95
53400,53380,61.62,70.97
53460,53440,61.62,70.91
53520,53500,61.55,70.95
53580,53560,61.65,70.99
53640,53620,61.58,70.93
53700,53680,61.58,70.95
53760,53740,61.51,70.93
53820,53800,61.47,70.93
53880,53860,61.42,70.95
53940,53920,61.45,70.99
54000,53980,61.42,71.01
54060,54040,61.33,71.01
54120,54100,61.32,71.03
54180,54160,61.35,71.03
54240,54220,61.39,71.03
54300,54280,61.33,71.05
54360,54340,61.32,71.03
54420,54400,61.36,71.03
54480,54460,61.26,71.07
54540,54520,61.26,71.05
54600,54580,61.26,71.05
54660,54640,61.29,71.09
54720,54700,61.24,71.05
54780,54760,61.15,71.05
54840,54820,61.2,71.05
54900,54880,61.17,71.05
54960,54940,61.14,71.09
55020,55000,61.07,71.07
55080,55060,61.07,71.07
55140,55120,61.05,71.09
55200,55180,61.07,71.11
55260,55240,61.13,71.13
55320,55300,61.08,71.13
55380,55360,61.05,71.15
55440,55420,61.22,71.11
55500,55480,61.2,71.09
55560,55540,61.15,71.11
55620,55600,61.17,71.15
55680,55660,61.1,71.13
55740,55720,61.1,71.13
55800,55780,61.11,71.11
55860,55840,61.07,71.15
55920,55900,61.13,71.09
55980,55960,61.17,71.13
56040,56020,61.13,71.17
56100,56080,61.09,71.18
56160,56140,61.1,71.15
56220,56200,61.07,71.18
56280,56260,61.1,71.18
56340,56320,61.17,71.18
56400,56380,61.05,71.18
56460,56440,61.05,71.17
56520,56500,61.07,71.17
56580,56560,61.09,71.17
56640,56620,61.07,71.24
56700,56680,61.05,71.18
56760,56740,61.05,71.2
56820,56800,60.95,71.22
56880,56860,61.06,71.2
56940,56920,61.02,71.2
57000,56980,60.97,71.17
57060,57040,61.01,71.18
57120,57100,61.02,71.2
57180,57160,60.96,71.2
57240,57220,60.95,71.2
57300,57280,60.96,71.2
57360,57340,60.99,71.2
57420,57400,60.94,71.2
57480,57460,60.91,71.22
57540,57520,60.92,71.22
57600,57580,60.89,71.22
57660,57640,60.95,71.22
57720,57700,60.98,71.22
57780,57760,60.93,71.2
57840,57820,61.03,71.22
57900,57880,60.97,71.26
57960,57940,60.97,71.24
58020,58000,60.91,71.22
58080,58060,60.88,71.26
58140,58120,60.83,71.2
58200,58180,60.87,71.22
58260,58240,60.93,71.24
58320,58300,60.86,71.26
58380,58360,61.0,71.24
58440,58420,61.01,71.26
58500,58480,61.07,71.26
58560,58540,61.01,71.28
58620,58600,60.94,71.28
58680,58660,60.97,71.28
58740,58720,60.9,71.28
58800,58780,60.82,71.28
58860,58840,60.93,71.3
58920,58900,60.9,71.32
58980,58960,60.88,71.26
59040,59020,60.81,71.28
59100,59080,60.73,71.22
59160,59140,60.74,71.26
59220,59200,60.67,71.26
59280,59260,60.75,71.22
59340,59320,60.72,71.22
59400,59380,60.73,71.26
59460,59440,60.72,71.24
59520,59500,60.65,71.26
59580,59560,60.66,71.24
59640,59620,60.71,71.3
59700,59680,60.73,71.28
